taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
6984,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys nigrispinus,"(Wagner, 1842)",,,,LC,Black-spined Atlantic Tree Rat
6985,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Callistomys,Callistomys pictus,"(Pictet, 1841)",,,,EN,Painted Tree-rat
6987,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Echimys,Echimys saturnus,"Thomas, 1928",,,,DD,Dark Spiny Tree-rat
6989,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys thomasi,"(Ihering, 1871)",,,,EN,Giant Atlantic Tree Rat
6990,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys unicolor,"(Wagner, 1842)",,,,CR,Unicolored Tree Rat
6992,ANIMALIA,ARTHROPODA,MALACOSTRACA,ISOPODA,ARMADILLIDAE,Echinodillo,Echinodillo cavaticus,"Green, 1963",,,,DD,
7010,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Coendou,Coendou rufescens,"(Gray, 1865)",,,,LC,Stump-tailed Porcupine
7011,ANIMALIA,ECHINODERMATA,ECHINOIDEA,CAMARODONTA,ECHINIDAE,Echinus,Echinus esculentus,"Linnaeus, 1758",,,,LR/nt,European Edible Sea Urchin
7012,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Paroplocephalus,Paroplocephalus atriceps,"(Storr, 1980)",,,,LC,Lake Cronin Snake
7013,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Echiopsis,Echiopsis curta,"(Schlegel, 1837)",,,,LC,Bardick
7014,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Echiothrix,Echiothrix leucura,"Gray, 1867",,,,EN,Northern Sulawesi Echiothrix
7015,ANIMALIA,CHORDATA,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,Echymipera clara,"(Stein, 1932)",,,,LC,Clara's Echymipera
7016,ANIMALIA,CHORDATA,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,Echymipera echinista,"Menzies, 1990",,,,DD,Menzies' Echymipera
7017,ANIMALIA,CHORDATA,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,Echymipera davidi,"Flannery, 1990",,,,EN,David's Echymipera
7018,ANIMALIA,CHORDATA,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,Echymipera kalubu,"(Fischer, 1829)",,,,LC,Common Echymipera
7019,ANIMALIA,CHORDATA,MAMMALIA,PERAMELEMORPHIA,PERAMELIDAE,Echymipera,Echymipera rufescens,"(Peters &amp; Doria, 1875)",,,,LC,Long-nosed Echymipera
7021,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Economidichthys,Economidichthys trichonis,"Economidis &amp; Miller, 1990",,,,EN,Trichonis dwarf goby
7022,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Economidichthys,Economidichthys pygmaeus,"(Holly, 1929)",,,,LC,
7028,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,Ectoedemia castaneae,"Busck, 1913",,,,EX,American Chestnut Moth
7029,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,Ectoedemia phleophaga,"Busck, 1914",,,,EX,Phleophagan Chestnut Moth
